"Authors","Author full names","Author(s) ID","Title","Year","Link","EID"
"Aguiar de Lima T.; Da Costa-Abreu M.","Aguiar de Lima, Thales (57192952811); Da Costa-Abreu, Márjory (14038905200)","57192952811; 14038905200","A survey on automatic speech recognition systems for Portuguese language and its variations","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076408476&doi=10.1016%2fj.csl.2019.101055&partnerID=40&md5=f876f16346871bc8277d3ff8c3a255b6","2-s2.0-85076408476"
"da S. Medeiros D.R.; Torquato M.F.; Fernandes M.A.C.","da S. Medeiros, Denis R. (57845556200); Torquato, Matheus F. (57195314921); Fernandes, Marcelo A. C. (7202947679)","57845556200; 57195314921; 7202947679","Embedded genetic algorithm for low-power, low-cost, and low-size-memory devices","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095948432&doi=10.1002%2feng2.12231&partnerID=40&md5=edbff78e5f09eabaf781485df5f93499","2-s2.0-85095948432"
"Vieira J.C.; Guedes L.A.; Santos M.R.; Sanchez-Gendriz I.","Vieira, Jusciaane Chacon (58781100000); Guedes, Luiz Affonso (35761038800); Santos, Mailson Ribeiro (57219689542); Sanchez-Gendriz, Ignacio (56495540200)","58781100000; 35761038800; 57219689542; 56495540200","Using Explainable Artificial Intelligence to Obtain Efficient Seizure-Detection Models Based on Electroencephalography Signals","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180617958&doi=10.3390%2fs23249871&partnerID=40&md5=6dee6ce4a439e8b7d8870479c259d340","2-s2.0-85180617958"
"Flor D.; Pena D.; Pena L.; de Sousa V.A., Jr.; Martins A.","Flor, Daniel (57216582037); Pena, Danilo (57209855400); Pena, Luan (57209848920); de Sousa, Vicente A. (6603844872); Martins, Allan (57985251100)","57216582037; 57209855400; 57209848920; 6603844872; 57985251100","Characterization of noise level inside a vehicle under different conditions","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083979358&doi=10.3390%2fs20092471&partnerID=40&md5=7126a37117e9403c2bb0142b849b627f","2-s2.0-85083979358"
"Ribeiro V.; Greati V.; Bezerra A.; Silvano G.; Silva I.; Endo P.T.; Lynn T.","Ribeiro, Vinicius (57189895176); Greati, Vitor (57189887580); Bezerra, Aguinaldo (57209738451); Silvano, Gilles (57193726611); Silva, Ivanovitch (36537969500); Endo, Patricia Takako (36160299900); Lynn, Theo (25825321500)","57189895176; 57189887580; 57209738451; 57193726611; 36537969500; 36160299900; 25825321500","Brazilian Mercosur License Plate Detection: A Deep Learning Approach Relying on Synthetic Imagery","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083024464&doi=10.1109%2fSBESC49506.2019.9046091&partnerID=40&md5=2cced7e3246a1e041b5b899b6ab48dc3","2-s2.0-85083024464"
"Oliveira F.; Costa D.G.; Assis F.; Silva I.","Oliveira, Franklin (57220182434); Costa, Daniel G. (35519411300); Assis, Flávio (37120032100); Silva, Ivanovitch (36537969500)","57220182434; 35519411300; 37120032100; 36537969500","Internet of Intelligent Things: A convergence of embedded systems, edge computing and machine learning","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186722619&doi=10.1016%2fj.iot.2024.101153&partnerID=40&md5=2d8cec41b936f91ece548f764cf9e097","2-s2.0-85186722619"
"Rego I.; Medeiros L.; Alves P.; Goldbarg M.; Lopes V.; Flor D.; Barros W.; Filho V.; Sousa V.; Aranha E.; Martins A.; Fernandes M.; Fontes R.; Neto A.","Rego, Iago (57354214400); Medeiros, Lucas (58044948100); Alves, Pedro (58026872900); Goldbarg, Mateus (58044823300); Lopes, Vitor (57223133879); Flor, Daniel (57216582037); Barros, Wysterlanya (57217063870); Filho, Vinicius (58045076900); Sousa, Vicente (6603844872); Aranha, Eduardo (18433677500); Martins, Allan (57985251100); Fernandes, Marcelo (7202947679); Fontes, Ramon (57188683331); Neto, Augusto (35105652600)","57354214400; 58044948100; 58026872900; 58044823300; 57223133879; 57216582037; 57217063870; 58045076900; 6603844872; 18433677500; 57985251100; 7202947679; 57188683331; 35105652600","Prototyping near-real time RIC O-RAN xApps for Flexible ML-based Spectrum Sensing","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145771378&doi=10.1109%2fNFV-SDN56302.2022.9974940&partnerID=40&md5=113889d3d7118e5b1e87d11af023c51c","2-s2.0-85145771378"
"Beserra Gomes R.; Motta de Carvalho B.; Marcos Garcia Gonçalves L.","Beserra Gomes, Rafael (57203168945); Motta de Carvalho, Bruno (8924126900); Marcos Garcia Gonçalves, Luiz (58069927800)","57203168945; 8924126900; 58069927800","Visual attention guided features selection with foveated images","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882879129&doi=10.1016%2fj.neucom.2012.10.033&partnerID=40&md5=939870057b32931b77fe124d7f2192c2","2-s2.0-84882879129"
"Rocha F.; Cavalcante E.; Batista T.; Araujo D.","Rocha, Felipe (57216647593); Cavalcante, Everton (54893538400); Batista, Thais (36812228000); Araujo, Daniel (55103744400)","57216647593; 54893538400; 36812228000; 55103744400","Evaluating Machine Learning Classifiers for Prediction in an IoT-based Smart Building System","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119834729&doi=10.1109%2fWF-IoT51360.2021.9596026&partnerID=40&md5=d06b8842bc7694f0f0b75c03e3b2aa4b","2-s2.0-85119834729"
"Souza Medeiros J.P.; Borges Neto J.B.; Brito Júnior A.M.; Motta Pires P.S.","Souza Medeiros, João P. (56332622700); Borges Neto, João B. (57193215800); Brito Júnior, Agostinho M. (56332631300); Motta Pires, Paulo S. (7801593556)","56332622700; 57193215800; 56332631300; 7801593556","Learning remote computer fingerprinting","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958526149&doi=10.1007%2f978-3-319-05885-6_12&partnerID=40&md5=2914d398c7c052f62bee6e0d8089327e","2-s2.0-84958526149"
